source_page,source_row,category,description,manufacturer_code,brand,quantity,source_price_cents,sale_price_cents,total_cents,confidence,source_fingerprint,internal_code,slug,issues
5,411,Iluminação,LENTE LANTERNA TRASEIRA CARRETA RONDON QUADRADA (AMARELA),,,5,1500,1950,9750,medium,b7a040221e03c7251b13ff127d30b6bf930582f150b53ee7fd5a792a155841af,APM1-0411,lente-lanterna-traseira-carreta-rondon-quadrada-amarela-apm1-0411,missing_manufacturer_code
5,412,Iluminação,LENTE LANTERNA TRASEIRA CARRETA RONDON QUADRADA (CRISTAL),,,3,1500,1950,5850,medium,2353a8f8a0a8d6abbd55114a7c5cb1a427177dea9e653b4c3b56c26a19afcd0d,APM1-0412,lente-lanterna-traseira-carreta-rondon-quadrada-cristal-apm1-0412,missing_manufacturer_code
5,413,Iluminação,LANTERNA DIANTEIRA ÔNIBUS/CAMINHÃO MB 709/912 LE,J1015,JOLEMA,2,2500,3250,6500,high,5c8f2c864b6b775fbc171082206803d12a18ba7f5599ac52aaa98b4c4b75b088,APM1-0413,lanterna-dianteira-onibus-caminhao-mb-709-912-le-apm1-0413,
5,414,Iluminação,LANTERNA PISCA SETA OPALA 80/87 LD,,,1,2000,2600,2600,medium,ee6596feacfd89433f241a915a6a7d15ad2b7410ad50947eef5ee9e97d162a65,APM1-0414,lanterna-pisca-seta-opala-80-87-ld-apm1-0414,missing_manufacturer_code
5,415,Iluminação,LANTERNA PISCA MERCEDES BENZ LE,,,1,3800,4940,4940,medium,b289587ce761661bbf8c44a986c0b0416eaced2b3933a05c778e950a42fcf268,APM1-0415,lanterna-pisca-mercedes-benz-le-apm1-0415,missing_manufacturer_code
5,416,Iluminação,LENTE REDONDA DEGRAU LANTERNA AMBAR (AMARELA),J907,,10,1500,1950,19500,high,2cf62a921d5f160225d0cdb8ce364de5e72f7431599f32435e56047e0929e302,APM1-0416,lente-redonda-degrau-lanterna-ambar-amarela-apm1-0416,
5,417,Iluminação,LENTE REDONDA DEGRAU LANTERNA AMBAR (VERMELHO),,,4,1500,1950,7800,medium,e94cda6d0587be4fd8b1098f4073900814380736c573165fc6f038def5e96f2a,APM1-0417,lente-redonda-degrau-lanterna-ambar-vermelho-apm1-0417,missing_manufacturer_code
5,418,Iluminação,LENTE LANTERNA DIANTEIRA EUROPA 80/82 LD,,,1,1500,1950,1950,medium,3e97ad73e3861f365e439989ebc3a048a33bb0cbf134c92aaf9059ab6c1ea494,APM1-0418,lente-lanterna-dianteira-europa-80-82-ld-apm1-0418,missing_manufacturer_code
5,419,Iluminação,ARO LANTERNA FUSCA TRASEIRA CROMADO,011315-7,,2,1000,1300,2600,high,7abceefd0d27b4f32bfc8b1051248b919a0afb62e8b4ccba2f08097a69c9b273,APM1-0419,aro-lanterna-fusca-traseira-cromado-apm1-0419,
5,420,Iluminação,ARO LANTERNA FUSCA TRASEIRA (2 PÇ),,,1,1000,1300,1300,medium,6f7283319158a25798faea45256b2c3addd0a2f36aa75ffbcddae80dc33a0ec0,APM1-0420,aro-lanterna-fusca-traseira-2-pc-apm1-0420,missing_manufacturer_code
